,r_points,r_text,place,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
3,30,the buffet did not have cakes although they are advertised on pics you have to pay extra for the cake,Evohia,,,,,"{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.1027}",-0.1027,neg
47,30,Not a huge variety but the dishes are descent and tasty enough. The staff is quite polite and helpfull.,Evohia,,,,,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.1232}",-0.1232,neg
51,10,"Food average, friendly waiters but I think in general is not the best place to dine !! Not value for money and not much taste in food",Evohia,,,,,"{'neg': 0.235, 'neu': 0.701, 'pos': 0.064, 'compound': -0.7643}",-0.7643,neg
66,20,Unfortunately we had one of our best meals (Pyxida Fish Tavern) the night before we went to Evohia. Evohia was probably one of our worst meals on our visit to Nicosia. Evohia is buffet style fare. The wait staff were very attentive. You can eat as much as you want but really the quality was very poor. I would not recommend this restaurant.,Evohia,,,,,"{'neg': 0.161, 'neu': 0.786, 'pos': 0.053, 'compound': -0.8296}",-0.8296,neg
79,30,"Chain restaurant with buffet and without any changes in their menu for many-many years. Of course, their tandoori chicken is good as well as spinach pie, But always the same food, and it is so boring! Nothing new! Last time I was FORCED to go there by my friends, but I don't want to go there, either to Estiades or Prosilio.",Evohia,,,,,"{'neg': 0.097, 'neu': 0.818, 'pos': 0.086, 'compound': -0.185}",-0.185,neg
85,40,"Full of business people, this restaurant also offers a takeaway lunch buffet service (you fill a container) however prices for this are hit and miss and I have been shocked sometimes at paying 9 euros for mainly salad! If you eat in its a bit pricey (around 16 euro before drinks) but you can fill your plate as much as you want - so if you are starving its good food!",Evohia,,,,,"{'neg': 0.1, 'neu': 0.827, 'pos': 0.073, 'compound': -0.2344}",-0.2344,neg
94,20,"I am rating as below average because during my last visit, we had booked for a suit and we stayed unhappy. Yes the room was big, yes the breakfast was satisfying and the staff friendly BUT we weren't able to use the bath because there was a problem with it and the water from the bathtub kept leaking on all over the bathroom floor. I am sure if i had ignored it and took a bath or used the jacuzzi (it was a jacuzzi-bath) the leak would go all over our room and outside of the suit. Because of the late in the hour that we realized this we didn't request for a change in the room but we notified them the next day and they said they will check it.Since we stayed only for one night we didn't have the chance to see what they would suggest we do (change room etc).Nevertheless after this experience i don't think i would ever take my chance with this hotel again because i highly doubt that the leaking first occurred on our visit since as soon as we opened the water, water started coming to the bathroom floor without any delay. This is not something that the cleaner could ignore during their regular cleanings of the bathtub, the cleaner should have realized that it was heavily leaking and either ignored it or told the responsible person about it but instead of them to arrange for it to be fixed, they just let more people to stay there. Either way it was very disappointing.",Semeli Hotel,Review 49 Similarity,0.065653216,Review 136 Similarity,1.0,"{'neg': 0.094, 'neu': 0.837, 'pos': 0.069, 'compound': -0.8404}",-0.8404,neg
96,30,"Booked 5th floor double room with fridge, kettle etc and balcony and breakfast -accommodation great with clean room but hard pillows and when asked for feather none available but that is a minor thing. Breakfast absolute minimum and bland fruit salad basically apples, orange and apple juice not fresh although both apples and oranges are in season on the island and therefore really cheap. Other fruit not great quality and no oranges were ever available as fresh juice or to peel. The coffee is self service from a machine and no decaf - you have to pay around 3.50 euro per cup. I asked to speak to the manager several times but he never contacted me. Reception staff otherwise very helpful. Shame no local foods are reflected in the breakfast choice and no communication available in case of a complaint as I felt I needed to make - it is a 3-4 star hotel but felt much less in what I have mentioned above. Pity.",Semeli Hotel,Review 34 Similarity,0.29488391199999997,Review 51 Similarity,0.50336201,"{'neg': 0.16, 'neu': 0.762, 'pos': 0.077, 'compound': -0.9055}",-0.9055,neg
107,30,"Stayed in this Hotel several times over the past 16 months.The rooms are a good size, sadly the taste in furniture is extremely poor, not helped by very poor lighting, bathrooms have a jacuzzi which takes up most of the space and totally un-nessasary a shower would have been more piratical for this business hotel.The public parts of the hotel has no soul and is actually a dead space, the only person who sits there is the owner and friends. Didn't go into the bar.On two occasions my room was not ready, nor did I get the room I requested, the last visit they couldn't find the booking though it was made well in advance with the general manager.This hotel need someone to take charge and turn it into a city business hotel, the potential is there and so is the demand.And yes I would stay there again, the only reason is it's convenient location. The alternative would be the aged Hilton at three times the price.",Semeli Hotel,Review 143 Similarity,0.223606798,Review 76 Similarity,0.47576082700000005,"{'neg': 0.102, 'neu': 0.837, 'pos': 0.061, 'compound': -0.8124}",-0.8124,neg
229,10,"This is a 5 Star hotel only in name. The service is apalling, staff in bars and restaurants are jsut not interested in their guests. I don't mind paying good money for service, food and drinks, however this place charges top rates and offers the service of a 3 star hotel.Rooms are dated, something out of the 1970's, brown carpets, torn curtaind and old fashioned bathrooms.Don't stay here.",The Landmark Nicosia,Review 296 Similarity,0.46169025799999996,Review 108 Similarity,1.0,"{'neg': 0.128, 'neu': 0.846, 'pos': 0.026, 'compound': -0.7153}",-0.7153,neg
259,10,"Not much to say other than this hotel having gone from bad to worse! The staff is unfriendly, the lobby takes over 30 minutes to serve you a coffee, which arrives cold and with a stale biscuit, hardly the impression you need to give to a client when you are there for a meeting. The rooms are basic but clean, but that is it. Over the past 29 years of visiting Cyprus on a regular basis I do not recommend this hotel any more.",The Landmark Nicosia,Review 628 Similarity,0.474341649,Review 87 Similarity,0.486664263,"{'neg': 0.105, 'neu': 0.826, 'pos': 0.069, 'compound': -0.476}",-0.476,neg
302,40,Everything was perfect to this hotel. The stuff was very helpfull.The only problem was that there is not free wifi internet,The Landmark Nicosia,Review 1070 Similarity,0.447213595,Review 171 Similarity,0.45883146799999996,"{'neg': 0.207, 'neu': 0.658, 'pos': 0.135, 'compound': -0.2419}",-0.2419,neg
306,20,"Supposedly one of the best hotels of Nikosia, was very disappointed. At the checkin the person was very cold and distant. When I asked for wifi access I was told this would cost 6 euros per hour, which is frankly outrageous in todays times. Wifi should be free as it is in most 5 star hotels.The room was very disappointing old looking. There also is no turndown service. Franlky for the price better to look elsewhere.",The Landmark Nicosia,Review 1008 Similarity,0.33541019699999997,Review 448 Similarity,0.45883146799999996,"{'neg': 0.138, 'neu': 0.743, 'pos': 0.119, 'compound': -0.1744}",-0.1744,neg
327,30,"This is a typical Hilton. Clean, good service, good breakfast, decor a little tired but it is very, very close to a major room and all the executive rooms are so close to the road that the nosie makes it difficult to sleep with an open window.",The Landmark Nicosia,Review 437 Similarity,0.212132034,Review 665 Similarity,0.43528575,"{'neg': 0.101, 'neu': 0.783, 'pos': 0.115, 'compound': -0.0781}",-0.0781,neg
329,40,"The Hilton is the Hotel I use on every trip I make to Cyprus since the late 90's.And there lies the problem.I have changed,the Hotel hasn't.Without being run down,it has the same tired furniture for at least 15 years.Everything works,the breakfast is good but lacks the local flavor it could have,personnel is extremely polite and professional but it is too familiar,kind of old fashioned and in need of refurbishing,NOW.And a small mishap: There was a kettle in the room,spoons,sugar,milk but neither tea nor coffee.!",The Landmark Nicosia,Review 825 Similarity,0.42426406899999997,Review 213 Similarity,0.43528575,"{'neg': 0.05, 'neu': 0.927, 'pos': 0.023, 'compound': -0.2942}",-0.2942,neg
332,30,"Good rooms, though nothing extraordinary, excellent air-conditioning, large outdoor pool, friendly reception and porters.Problems: unacceptable to have to pay 15 euro per day for internet, no bath robes (somebody else said can be requested), terrible pool bar service- 5 euro for a flat diet coke, the staff spoke no Greek or English and couldn't understand what ""flat"" or ""can"" meant- it was almost comic when the (Russian?) waiter said ""oh, you want gas!""",The Landmark Nicosia,Review 1081 Similarity,0.353553391,Review 395 Similarity,0.43528575,"{'neg': 0.18, 'neu': 0.733, 'pos': 0.087, 'compound': -0.7776}",-0.7776,neg
355,30,"First the good. The service is absolutely first class. Our room was lovely and the pool area in the middle of a city is first rate (but see below)The bad. The food is just not good enough. The lunch buffet has quantity but not enough quality. Ditto for the pool food.The ugly. This is too expensive compared to everything around it. Oh and as for the consistent dirge of the incessant dull pop music, the less said.",The Landmark Nicosia,Review 44 Similarity,0.298807152,Review 507 Similarity,0.429197538,"{'neg': 0.118, 'neu': 0.809, 'pos': 0.073, 'compound': -0.714}",-0.714,neg
404,30,"Some friend booked us 4 rooms in this Hotel last week. Rooms are clean and big (5th floor is the executive floor) but they need to renovate all of them. Bar is tragic we order Bloody Mary, Margarita and Aperol all of them was terrible. In the next day we order some lunch in the restaurant.Ravioli and Chicken souvlaki like frozen from the microwave dishes. Never again eat there or drink there. Maybe we can stay if is necessary only.",The Landmark Nicosia,Review 473 Similarity,0.158113883,Review 734 Similarity,0.40555355299999996,"{'neg': 0.13, 'neu': 0.792, 'pos': 0.078, 'compound': -0.7783}",-0.7783,neg
