,r_points,r_text,place,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
81,50,"Ecellent vernisage of belgian Painters, with many i did not know before. Great quality of event, with interesting lectures from organizers.",A G Leventis Gallery,Review 5 Similarity,0.18257418600000003,,,"{'neg': 0.137, 'neu': 0.75, 'pos': 0.113, 'compound': -0.1516}",-0.1516,neg
133,50,"The architecture and details on the walls by the main entrance reminded me of Kolner Dom. Quite a piece of art. Feels strange to see it near a mosque, but well... history happens.",Bedestan Church and Mosque,,,,,"{'neg': 0.045, 'neu': 0.955, 'pos': 0.0, 'compound': -0.1027}",-0.1027,neg
153,40,"Stumbled across this building that use to be St. Nicholas Church. It is currently used as a venue for concerts, dance shows etc. There was a fee of a couple of euros to go in, but we just stuck our heads in.The Bedesten is a 14th century gothic styled building built of ashlar stone blocks upon the ruins of a Byzantine building. It was used as a church in the Lusigan period, as a Metropolitan building under the name of St. Nicholas Church by the Orthodox community in the Venetian period. Following the Ottoman conquest, it's name changed to the Bedesten, after which it was used as a textile Market, a food Market, a flour Market, and a wheat store before falling into disuse.",Bedestan Church and Mosque,,,,,"{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.8625}",-0.8625,neg
155,10,"There was nothing explaining the history of the building . There were a few souvenir shops (nothing interesting) . Spend no more than 5 minutes, take a couple of photos and leave.",Buyuk Han,Review 438 Similarity,0.0,Review 459 Similarity,1.0,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.34}",-0.34,neg
166,40,We walked by it but unfortunately it was closed. Every Sunday is a weekend and all shops are closed. But the place around it is amaaaazing.,Buyuk Han,Review 251 Similarity,0.316227766,Review 178 Similarity,0.5,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.4767}",-0.4767,neg
208,40,"Buyuk Han is not anymore used as an caravansarai (and it was the largest on the island), but as a complex with coffee shops, souvenir shops and art galleries. The architecture is very beautiful, the atmosphere carries everybody a few hundred years ago, but the bad thing about this place is that is very comercial, not a quiet oasis like it should be.",Buyuk Han,Review 584 Similarity,0.14907119800000002,Review 351 Similarity,0.447213595,"{'neg': 0.106, 'neu': 0.812, 'pos': 0.082, 'compound': -0.1594}",-0.1594,neg
215,50,"I am mesmerised as to why this is no 7 on this site as this location is situated in the Turkish side, therefore you have to pass passport security (the Cypriot and then the queue for Turkish security).We were unfortunate to have a rather large group in front of us, therefore everything was delayed, however afterwards we walked the streets packed with fake designer items (Gucci, Valentino, Sophia Webster etc) and reached Buyuk Han.The building really stands the test of time and nowadays houses shops, travel agents, restaurants as it is spread over 2 floors.A great location int the middle of everything and not far from Selimiye Mosque.",Buyuk Han,Review 136 Similarity,0.0,Review 396 Similarity,0.426401433,"{'neg': 0.089, 'neu': 0.843, 'pos': 0.069, 'compound': -0.3182}",-0.3182,neg
246,30,"Just across the Ledra street crossing, this building with courtyard has s a few restaurants and art stores. Not world class but worth a stop if you cross for the day",Buyuk Han,Review 178 Similarity,0.0,Review 406 Similarity,0.40824829,"{'neg': 0.09, 'neu': 0.835, 'pos': 0.075, 'compound': -0.1154}",-0.1154,neg
272,40,"Buyuk Khan lies in old Nicosia not far from Ledra Crossing. It has cafes on the ground floor and the 1st floor house many shops selling handmade crafts such as soaps, jewelry, and antiques. You can buy soap and jewelry for cheap prices. They accept euros.",Buyuk Han,Review 93 Similarity,0.223606798,Review 275 Similarity,0.353553391,"{'neg': 0.057, 'neu': 0.891, 'pos': 0.053, 'compound': -0.0516}",-0.0516,neg
336,10,There is no point going there for a visit. Just an old building and nothing else. It's just an old path place.,Buyuk Han,Review 588 Similarity,0.338061702,Review 155 Similarity,0.267261242,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
391,30,Been to seeing this place only to be disappointed. Wasn't even in there for more than 5 minutes. Won't be going again,Buyuk Han,Review 25 Similarity,0.447213595,Review 24 Similarity,0.0,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.4767}",-0.4767,neg
406,50,Again part of our self guided tour . Very intresting and a wonder place to just stop and have a meal or drink and watch the world bussle by,Buyuk Han,Review 141 Similarity,0.447213595,Review 42 Similarity,0.0,"{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
450,40,Bring Turkish Lira.. dont use Euro as it can be difficult to get change or you will find the item more expensive.Good photo opportunities here and many of the market stall sell handmade items at very reasonable prices. avoid the tourist tack and go for handmade lace or crochet pieces,Buyuk Han,Review 55 Similarity,0.316227766,Review 163 Similarity,0.0,"{'neg': 0.122, 'neu': 0.827, 'pos': 0.051, 'compound': -0.4404}",-0.4404,neg
479,50,"This whole old ""inn"" has been very well reconstructed, with the former hotel rooms now mainly occupied by artisans, etc. It is well worth a visit, but unfortunately ma restaurant has been allowed to take up more and more space which completely spoils the whole ""vista"".",Buyuk Han,Review 365 Similarity,0.25819889,Review 244 Similarity,0.0,"{'neg': 0.063, 'neu': 0.838, 'pos': 0.099, 'compound': -0.0662}",-0.0662,neg
485,20,It's so sad to see how they have downgraded this historic old Han.It used to be one of the number one places on our list of places to visit and eat at.It has bowed to the greater pressures of cheap tourism and and cheap tourist tat.We won't be going again.,Buyuk Han,Review 529 Similarity,0.25819889,Review 261 Similarity,0.0,"{'neg': 0.103, 'neu': 0.829, 'pos': 0.068, 'compound': -0.4391}",-0.4391,neg
493,20,"Unfortunately the entire area of Northern Nicosia is a big disappointment, and Buyuk Han was no exceptance.",Buyuk Han,Review 532 Similarity,0.223606798,Review 299 Similarity,0.0,"{'neg': 0.378, 'neu': 0.622, 'pos': 0.0, 'compound': -0.7845}",-0.7845,neg
511,40,"The location seems a set to a movie, but the overall impression is ruined by all the tables and chair that crowd it.",Buyuk Han,Review 73 Similarity,0.0,Review 382 Similarity,0.0,"{'neg': 0.163, 'neu': 0.745, 'pos': 0.092, 'compound': -0.4215}",-0.4215,neg
519,40,Old bazaar... Not very well preserved... All cafes and restaurants should be removed... İnstead art galleries should be placed..,Buyuk Han,Review 172 Similarity,0.0,Review 404 Similarity,0.0,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.2572}",-0.2572,neg
524,30,"It's nothing special really, you can live without visiting this. No historical value and full of restaurants/cafes nowadays.",Buyuk Han,Review 219 Similarity,0.0,Review 416 Similarity,0.0,"{'neg': 0.215, 'neu': 0.677, 'pos': 0.108, 'compound': -0.3309}",-0.3309,neg
563,30,"I visited the hotel with my girlfriend.The room was clean, perfect location, the staff was also level..but very soon we understood we have serious problem -the room next to us (280) was bordello!!We understood that immediatelu-3 times for 1 day some men wrong knock to our door to offer my girlfriend about sex for money!!!It was horrible,outrageus.Of course,we changed the hotel.I can not understand how in 21 senturu this these thinges can happen and no body check who come and why they come!!!That is really dangerous and we will notice the police!!!Sorry guys from CASTELLI but that is the ugly true!!!",Castelli Hotel,Review 57 Similarity,0.509133175,,,"{'neg': 0.129, 'neu': 0.801, 'pos': 0.07, 'compound': -0.6772}",-0.6772,neg
567,30,This hotel was cheap at <60 per night (we just stayed for one night). The room was small and had very few lights installed. The bed was ok. The cleanliness was average and the same for the breakfast. Also there is a very small parking nearby which was full so we had to park somewhat far. The location of the hotel is central but not the safest in Nicosia during the night. The personnel was polite. Go there if you are budget-conscious and looking for somewhere to sleep in Nicosia.,Castelli Hotel,Review 68 Similarity,0.504016129,,,"{'neg': 0.032, 'neu': 0.951, 'pos': 0.017, 'compound': -0.3153}",-0.3153,neg
573,20,"The hotel is well situated to the centre of old Nicosia, old and in need of renovating. Things look dated and the rooms need painting to cover the marks on the walls, the chipped wood, etc.The room was clean, but when you get a ""superior"" room, you do not expect a connecting door to the next room where you can hear the other people in that room even when they whisper. Unlike other hotels, there was nothing in the room - no tea/coffee making facilities, no water, nothing.WiFi in the room and throughout the hotel worked OK if not very fast.Breakfast was OK, but very standard (typical eggs, beans, bacon, sausages, cereals, etc.), but nothing out of the ordinary or even nice.When got a water from the machine in the hallway it was very warm (temperature outside was over 30C) and had to argue with the receptionist to get a cold bottle of water - ""sorry, not our machine"" is what she said over and over again.The hotel is in located on a VERY busy and noisy road and in front of a fire station and police station so expect to be woken up at 7am when they test their sirens at the fire station and because of the general noise of that street.When got back after midnight the keycards did not work - either of them - so that meant a trip to reception only to be told that as it was after midnight on the day we were leaving, they didn't work - even though we had another 12 hours at the hotel. Receptionist didn't even apologise.The notice in the lift (see photo) was a bit insulting - bad comments and reviews were because of the ""emotional state"" of the guests? No sorry - bad reviews are because of the very average service, the old furniture, average food, argumentative receptionists, etc.Overall, it was just about ""OK"" with nothing special at all. It is not somewhere I'll come back to.For the money I paid, I expected better and could have got better.",Castelli Hotel,Review 16 Similarity,0.47565569799999996,,,"{'neg': 0.115, 'neu': 0.822, 'pos': 0.064, 'compound': -0.9635}",-0.9635,neg
575,20,"I have stayed at the Castelli several times in the past and found the standards in the hotel to be acceptable. However my recent stay was a very bad experience, The room was far from clean and had a stink of smoke , the shower screen leaked water, the delph was unwashed from the last guest. there was no milk. When this problem was brought to the attention of reception no action was taken The electricity in the room cut out on a regular basis. The toilet flush did nor work properly.It strikes me that standards have dropped off. I had paid extra for and ""Executive Room"" and expected standards to match the description.The hotel is centrally located which was the only real bonus .I won't return",Castelli Hotel,Review 27 Similarity,0.466173237,,,"{'neg': 0.132, 'neu': 0.791, 'pos': 0.076, 'compound': -0.7788}",-0.7788,neg
