,r_points,r_text,place,scores,compound,score
0,30,It's one of those strange things that some of make a point of visiting the sites of horror around the world. It's fairly clear that a terrible event did occur here many years ago. The museum is very small and not really easy to find. It's best to employ a taxi driver to find the location. It makes no pretense that it is presenting a balanced view of what occurred there - I don't think that they feel the need to do this. It does simply present information about an historical event and then allows us to make up our own minds based on whatever information we currently hold or are able to garner from a range of sources. Go and have a look - it is definitely worth it.,Museum of Barbarism,"{'neg': 0.098, 'neu': 0.819, 'pos': 0.083, 'compound': -0.2553}",-0.2553,neg
2,10,My father was the British RSM RAMC that was in charge of bringing the bodies out of the house. He said that it was so quiet if a pin had dropped there would have a horrendous uproar and he does not agree with the story written here. He read it in the daily telegraph many years ago and was upset as it was not written as it was and he was there. This affected him more than Burma,Museum of Barbarism,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.8446}",-0.8446,neg
3,10,"This 'museum' is located in one of the busiest and trendiest streets of the Turkish speaking part of the city. It is a crime scene of a family whom were killed in the shower by Greek speaking soldiers during the Cypriot Civil War in 1963. The building is currently under Turkish Military control, and has a lot of biased information on the war (whitewashing what the Turkish speakers did and putting all the blame of the war on the Greek speakers). There is a similar museum in the Greek speaking part of the city with a lot of biased information and propaganda too (this time putting the whole blame on the Turkish speakers and whitewashing what the Greek Cypriots did.). Don't waste your time and energy visiting these places in Cyprus as even the locals don't.",Museum of Barbarism,"{'neg': 0.199, 'neu': 0.772, 'pos': 0.029, 'compound': -0.9783}",-0.9783,neg
4,30,"As soon as you get in, it reverberates sadness especially when i saw the clothes of the victims and seeing the bathroom where they died and reading the narration of a survivor. It gave me goosebumps and a creepy feeling.",Museum of Barbarism,"{'neg': 0.196, 'neu': 0.714, 'pos': 0.089, 'compound': -0.7003}",-0.7003,neg
5,40,You need to see here to see what the barbarism is. It shows you some real evidence about real history of being savage and killing innocent people...it may be a little disturbing for sensitive souls,Museum of Barbarism,"{'neg': 0.243, 'neu': 0.701, 'pos': 0.056, 'compound': -0.8405}",-0.8405,neg
7,50,I wish there is no need for this type of museums in the world however we humans follow ideologies blindly and kill each other for the sake of belief. It is sad to see human barbarism in this century,Museum of Barbarism,"{'neg': 0.214, 'neu': 0.728, 'pos': 0.058, 'compound': -0.8074}",-0.8074,neg
9,50,"Yes indeed here the barbarism happened ..Innocent family wife and her chilldren were killed by them,,,I dont want to mention who did it.Because we all world people forget what happened..The time is peace time..",Museum of Barbarism,"{'neg': 0.178, 'neu': 0.677, 'pos': 0.145, 'compound': -0.1083}",-0.1083,neg
10,40,"The house was lived in by Dr Nihat Ilhan and his family. He was assigned to the regiment sent by the Turkish army as part of the guarantee agreement made when the new Cyprus Republic was established in 1960. On 24th December 1963, while Dr Nihat Ilhan was on duty, his wife, his three children, Kutsi, Tecer, and Hakan along with the house owner Hasan Gudum's wife, Ferida Gudum were killed by the Greek Cypriots. Following the barbaric act of murder the house was turned into a museum to commemorate the martyred with photos exhibited showing the scene of crime.",Museum of Barbarism,"{'neg': 0.113, 'neu': 0.84, 'pos': 0.046, 'compound': -0.8591}",-0.8591,neg
3,10,"DO NOT visit this hotel if you look or are Chinese or Russian.I stayed at this hotel for business.I had a few hours to myself, so I decided to visit the casino.I sat down at one of the Blackjack tables and one of the employees asked for my name,so I gave him my “Pasha casino card”.He returned my card with the announcement: “You're not allowed to play at the Blackjack table”I asked him what the reason is to refuse me, he said again: “You are not allowed to play Blackjack”Another employee (maybe a floor manager?) also came to me and he confirmed that I was not allowed to play at the Blackjack table, but only on the machines or roulette table.So I asked this man again, which casino rules are refusing me to play Blackjack here.He answered: “Russians and Chinese are not allowed to play Blackjack here”So I showed him my Dutch National ID card, proving to him and his colleagues that I’m not Chinese, but a Dutch citizen!Again I asked them, why I’m not allowed to play here because I just proved to him I’m a Dutch citizen. One of his colleagues then said, because I look Chinese and the “floor manager” still refused me at the table.Then I asked him: “You are refusing me play here because I look Chinese, so this is racism and discrimination”Your so-called “manager” couldn’t properly deny my accusation.In short:- I'm not being refused on grounds of being aggressive, disrespectful, rude or disturbing to anybody- I'm being refused only based on my looks, not my nationality. This is pure racism and discrimination.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.995}",-0.995,neg
4,30,"This is a lovely hotel very friendly staff I would recommend it but, there is a but, there is no iron or ironing board in the rooms, so if your in a hurry to go out your screwed,there have a person who comes to your room and take your ironing away and ofcourse there is a charge,I don't like strangers ironing my clothes for me, this ridiculous put irons in the room so people can iron there own clothes, so because I needed my clothes iron at different times and I didn't know in advance, I had to go out with clothes wrinkled.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.089, 'neu': 0.849, 'pos': 0.062, 'compound': -0.5968}",-0.5968,neg
20,40,"staff was very helpful, although being on of few hotels in the city, they maintain a very high quality service... when i visit Lefkosa again and will stay at Golden Tulip again for sure.recommended with no regrets.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.118, 'neu': 0.804, 'pos': 0.078, 'compound': -0.1548}",-0.1548,neg
24,50,"Excellent and well-presented breakfast ruined by allowing customers to smoke, alongside the food display. Disgusting and unhygienic. Shocked by this in 2016. Otherwise, hotel is very good indeed. Recent refurbishments have enhanced hotel enormously.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.197, 'neu': 0.649, 'pos': 0.154, 'compound': -0.228}",-0.228,neg
26,30,"The Hotel il self was good, but the staff was under average. Examples: a) Although we ordered a well done steak, the steak was medium. Also after a second time in herd, the result was the same. b) In the resepsiyon area is a cafe, but nobody asks you if you want order something. c) On Check out the concierge asked me if I had something from the minibar. Although I denied, she asked the floor manager to check. I am sorry but I expect more from a 5* Hotel.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.06, 'neu': 0.872, 'pos': 0.068, 'compound': -0.0644}",-0.0644,neg
28,10,"This ""5 stars"" hotel has only nice and large room but they have a very big management problems about this facility. Front desk not welcomes you, also very slow and lack of taste breakfast and the unproffesional waiters and a la carte restaurant too. Everbody is very slow and rude to the guests. It is not a cheap hotel in Cyprus standards but they are acting to the customer like they paid nothing. When you turn on the AC cigarette smell fills the room, and food smell in the morning comes from there even if you stays 8th floor. Wi-fi is weak at the room. I am not going to make this mistake again when I ll go to Cyprus.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.164, 'neu': 0.797, 'pos': 0.038, 'compound': -0.9578}",-0.9578,neg
33,20,"I've been coming to the hotel restaurant for several months because the food is excellent, the staff is very friendly, and the prices are very economical. Today, however, I have had the poorest experience yet, and it had nothing to do with the aforementioned positives.A man appeared to be very upset with something, and started berating the staff loudly, throwing a temper tantrum with his (apparent) very young daughter at the table. My colleague and I were tempted to go over and step in to calm the irate man down, but decided to eat our food instead.After we finished our lunch, and when leaving through the lobby, we saw the man sitting at a desk by the front counter. We approached him to talk to him, but he apparently did not speak English. We spoke to the counter staff instead, who informed us that he was the owner of the hotel. This made his actions previously even more deplorable in our eyes, as it appears he was actually berating his staff for some perceived slight.While he is of course entitled to deliver feedback to his employees regarding mistakes made, or procedures not followed, to do so in such an aggressive, loud, obnoxious, and unprofessional manner in public, in front of paying customers does not add much to his credibility as a manager. I would suggest that any future potential customers avoid upper management as much as possible, as we have never had any problem with the frontline staff. If this review is ever brought to the attention of the owners, I say, put a sock in it, and treat your staff with respect, and they will do the same for you.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.089, 'neu': 0.843, 'pos': 0.068, 'compound': -0.7362}",-0.7362,neg
59,30,"this is a new hotel but is not acceptable that you can't open the window. i am allergic to air conditioning and I suffered too much due the presence of moquette in the bed room. staff is not well trained both in english and quality of service. swimmingpool is not working even if they sell as it it. I moved without any regrets. Prices are more expensive than in Europe. Rack price is 200 euro per night, but you can get a single for euro 60,00 per night. breakfast is ok.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.121, 'neu': 0.823, 'pos': 0.056, 'compound': -0.743}",-0.743,neg
