,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
0,40,Located in Nicosia. You can find make almost your own burger with serval options available and also they served other plates and different kind of salads. The service was good and the waitress was friendly. The burger with gruyere cheese and onion was tasty and juicy. We paid around 16 euros per person including soft drink. The side fried sweet potatoes were delicious. Nice place for burgers but not real good atmosphere. Good for lunch mainly.,Artisan's Burgerbar,Review 1 Similarity,0.298142397,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.9432}",0.9432,pos
1,50,"Probably the best burgers in town, top quality ingredients and friendly staff! High variety of dishes (fish and vegan options, healthy salads), nice environment and amazing service. Creative menu, delicious food worthing every penny! A really must try!",Artisan's Burgerbar,Review 33 Similarity,1.0,"{'neg': 0.0, 'neu': 0.528, 'pos': 0.472, 'compound': 0.9776}",0.9776,pos
2,40,Very nice burgers in reasonable prices and a variety of beers and wines. It is more than a restaurant than fast food. Friendly staff and nice decoration. It is usually crowded so you might need a booking. One of the best places in Nicosia.,Artisan's Burgerbar,Review 105 Similarity,0.804030252,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.9272}",0.9272,pos
3,50,Best burgers in Nicosia! Good food and decent choice of diverse burger combinations. (Even for vegetarians 😅). Service fine too.,Artisan's Burgerbar,Review 25 Similarity,0.503952631,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.8478}",0.8478,pos
4,50,A place where you can have a variety of alternative burgers. Every burger is serve with a choice of side dish. Reasonable prices...quick service Excellent staff,Artisan's Burgerbar,Review 44 Similarity,0.503952631,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5719}",0.5719,pos
5,50,"We absolutely love artisan's!! Perfectly cooked burgers and tasty! Its our to go burger bar! Great staff, always offer the best service!! Strongly rec!",Artisan's Burgerbar,Review 52 Similarity,0.503952631,"{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.9703}",0.9703,pos
6,50,"Been here twice - food is great - top quality burger - some of the types are not my taste, but for the most part everything is top notch. Good service and nice atmosphere.",Artisan's Burgerbar,Review 101 Similarity,0.503952631,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.9136}",0.9136,pos
7,50,You will be surprised but one of the best burgers I enjoyed was in Nicosia and believe me I'am a meat lover and I know what I'am talking about. Big variety of sauces and combinations very good meat quality and precision cooked to your preference .I visited a lot of burger joints and this one is my favorite.,Artisan's Burgerbar,Review 213 Similarity,0.503952631,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.9802}",0.9802,pos
8,40,"They changed their menu and includes more variety of foods such as salads, sandwiches, meet and chicken and even fish as well as different variety of burgers. Nice place to visit and the service was good. The chicken salad was tasty and it was only at 9 euro including soft drink!",Artisan's Burgerbar,Review 13 Similarity,0.502518908,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.7959}",0.7959,pos
9,50,"I'm always apprehensive about reviewing new places after only one visit. After a 2nd visit my wife and I agree AB's food and service is outstanding. The burgers are creative, food is fresh and staff are very helpful. Inside decor is original making the atmosphere exceptional for a casual mea.",Artisan's Burgerbar,Review 309 Similarity,0.502518908,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.9509}",0.9509,pos
