,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
16,30,"No,I was not impressed at all. Nothing special about the food. Not that clean either. And overpriced for burgers especially of that quality. There much better places to visit for lunch and dinner.",Artisan's Burgerbar,Review 236 Similarity,0.5,"{'neg': 0.181, 'neu': 0.744, 'pos': 0.074, 'compound': -0.4888}",-0.4888,neg
32,30,"Maybe we were unlucky - twice.Make no mistake the burgers, when hot and properly cooked are good, however the first time we went as a family 2 of the 3 burgers were cold- they were re-heated eventually with a minimum of fuss.. Only 10 people in the restaurant at the time. All 3, onceWe decided to return for lunch a couple of days later . Unfortunately one of the burgers was not cooked properly ie not to order. The plates were taken away twice to get re-cooked and the restaurant failed on both occasions to manage to cook a well done burger. Hey ho!If you are going to charge a slight premium for your burgers then the quality of food and service should be up to scratch. It wasn't.Maybe we were unlucky.",Artisan's Burgerbar,Review 267 Similarity,0.46666666700000003,"{'neg': 0.08, 'neu': 0.882, 'pos': 0.038, 'compound': -0.68}",-0.68,neg
40,30,"I ve been many times but last time I got disappointed on the food and I dont know if chef changed, also sad that veggie burgers are fried, c´mon guys, if a health conscious person dont want to eat meat he has to eat fried?? Service was good as always but for the price which charge extra even the fries could be better and bigger",Artisan's Burgerbar,Review 30 Similarity,0.447213595,"{'neg': 0.136, 'neu': 0.76, 'pos': 0.104, 'compound': -0.3167}",-0.3167,neg
63,20,Wrong cooking of the burger Salty salad medium service The Quality for the dishes not acceptable with the prices The burgers was ordered medium and become well done and dry It was a bad experience First and last time in this place,Artisan's Burgerbar,Review 2 Similarity,0.40824829,"{'neg': 0.18, 'neu': 0.776, 'pos': 0.044, 'compound': -0.7552}",-0.7552,neg
72,20,"Good concept, but adjusted (as everything else) to the pretentious Cypriot reality. Started well, but then it all went downhill, due to I’m guessing inexperienced management. Food not that great, and overall not the best choice for a nice dinner down town Nicosia.",Artisan's Burgerbar,Review 338 Similarity,0.40824829,"{'neg': 0.166, 'neu': 0.681, 'pos': 0.153, 'compound': -0.4005}",-0.4005,neg
98,20,"I visited this place with my wife and kids, and everybody were very excited to try their famous burgers. unfortunately, we have not given any chance, since for 35 minutes no one has even took our order. i don't mean bringing it, but at least ask what we would want to have. i cannot say they were lack of waiters - i noticed 4 or 5 people serving tables around us. even when i caught one and asked when we may a place an order he just disappeared. so we waited for 10 more minutes and just left. guys, your management is awful. you are selling not a food ( i can do it myself, or buy at supermarket), you are selling a SERVICE. and you don't have one. thank you for spoiling my birthday.",Artisan's Burgerbar,Review 73 Similarity,0.37796447299999997,"{'neg': 0.125, 'neu': 0.85, 'pos': 0.025, 'compound': -0.9069}",-0.9069,neg
113,10,"Service was fine, but as for the quality of the food i was expecting much more than that. The burger bread was stale an you could tell they buy bread from somewhere and let it get old. Very bad choice. As for the burger we had 2 different burgers from the menu, and the taste was plain. Not worth the money we paid for.... the food looks good when they bring it to your table, but the taste was just poor and very disappointing. The salad also was not fresh. Only the fries were worth eating. I had a lot of expectations from this place but other than a good image and good service i would not recommend this place to eat. I would recommend to the management to start making their own bread for the burgers, stop buying the ready made stuff. If you are a burger place than do it and be a burger place. Make the bread fresh everyday, change the recipies and do something creative. We had 2 burgers and they tasted the same. There was nothing special to it. If you are going to charge people over 10€ for a burger than serve quality.",Artisan's Burgerbar,Review 139 Similarity,0.356034497,"{'neg': 0.151, 'neu': 0.76, 'pos': 0.089, 'compound': -0.9174}",-0.9174,neg
128,20,"I visited about a month ago with friends. Nothing special about it, or the food which was overcooked and the beers which were overpriced with poor selection.",Artisan's Burgerbar,Review 89 Similarity,0.333333333,"{'neg': 0.176, 'neu': 0.722, 'pos': 0.102, 'compound': -0.3089}",-0.3089,neg
129,30,"I don't really like burgers that much, but I was disappointed that the burgers weren't better. Too rich and bloating.",Artisan's Burgerbar,Review 93 Similarity,0.333333333,"{'neg': 0.478, 'neu': 0.522, 'pos': 0.0, 'compound': -0.9154}",-0.9154,neg
166,40,very good burgers but no kectup They have other dressings which i do not like You need 15 euros to eat a nice meal and rhe decoration is lux not forburgers Good location in the centre of the town,Artisan's Burgerbar,Review 103 Similarity,0.272165527,"{'neg': 0.185, 'neu': 0.69, 'pos': 0.125, 'compound': -0.4171}",-0.4171,neg
188,30,not really that good. Quite expensive for what you are eating and the service is quite poor considering that we had to ask twice for certain things,Artisan's Burgerbar,Review 4 Similarity,0.23570226,"{'neg': 0.187, 'neu': 0.748, 'pos': 0.065, 'compound': -0.6}",-0.6,neg
204,40,They serve tasty burgers. Although i would prefer a bit lower prices and more options to choose from. Maybe some more spicy ones?,Artisan's Burgerbar,Review 249 Similarity,0.23570226,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
239,10,terrible food. Order burger with mashroom and mashroom sauce. no any sauce in the burger. the chips were terrible as well,Artisan's Burgerbar,Review 160 Similarity,0.14907119800000002,"{'neg': 0.305, 'neu': 0.618, 'pos': 0.076, 'compound': -0.743}",-0.743,neg
243,20,"As you can see from my previous review I was very happy with the burger. The last time I ordered burger for delivery at home. The burger was disappointing. Although the bread was warm the burger inside was not warm but almost cold. Also although I asked the burgers to be medium cooked, it was medium rare cooked. Unfortunately, we did not manage to eat the burgers.",Artisan's Burgerbar,Review 76 Similarity,0.14547859300000002,"{'neg': 0.075, 'neu': 0.848, 'pos': 0.078, 'compound': -0.2031}",-0.2031,neg
269,50,"If you are thinking of a burger and are in Nicosia or nearby, then the only place is Artisan's. Forget about what you knew so far about burgers and set a new burger standard. It is simply divine. If you really what to become addicted, try the mouthwatering chicken burger with pepper corn sauce. It's to die for. Just add a glass of Sauvignon blanc, and let your taste buds do the work.",Artisan's Burgerbar,Review 283 Similarity,0.096225045,"{'neg': 0.076, 'neu': 0.877, 'pos': 0.047, 'compound': -0.296}",-0.296,neg
276,40,I ordered the fried chicken sandwich. The chicken was crunchy and well cooked however the ban seemed n fresh. The French fries was tasty. Overall price was 9 euro including drinks.,Artisan's Burgerbar,Review 3 Similarity,0.0,"{'neg': 0.109, 'neu': 0.758, 'pos': 0.133, 'compound': -0.0516}",-0.0516,neg
