,r_points,r_text,place,scores,compound,score
0,40,Excellent place. Going there often! Parking place plenty. Very crowdy at times usually on weekends!!!,The Mall of Cyprus,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.7067}",0.7067,pos
1,40,This is a typical modern European shopping center. Very well organised place making the shopping experience a pleasure.,The Mall of Cyprus,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.7264}",0.7264,pos
2,30,"Stopped by the Mall of Cyprus and Ikea in Nicosia.The mall is small, larger mall is in Limassol. A good selection of stores and restaurants along with cinema and food court.Great for a couple of hours.",The Mall of Cyprus,"{'neg': 0.052, 'neu': 0.87, 'pos': 0.079, 'compound': 0.25}",0.25,pos
3,40,After the renovation of the mall this year the area of the restaurant and cafe totally change...is amazing especially if you sit outside. Also love the kids area with arcades was time for it and Hansel&Gretel.,The Mall of Cyprus,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.8511}",0.8511,pos
4,40,"Still my favorite mall in Nicosia. Good variety of shops and restaurants. Nicely renovated, but restrooms can sometimes be dirty and tacky looking. Bulky soap dispensers make it difficult to wash. They too need a renovation now..",The Mall of Cyprus,"{'neg': 0.161, 'neu': 0.705, 'pos': 0.134, 'compound': -0.4939}",-0.4939,neg
5,40,"Finally the renovation of The Mall of Cyprus is now finished. There are a few more shops to choose from and the the food and beverage Village has moved. All the cafes I have also performed a facelift which is very pleasant. There is now also a Paul brasserie which is not only for coffee but has great food as well. But the most important Factor about the renovation is the increased parking space which has been a problem since it was built. I think now with double parking spaces. However it is still not resolved the problem with the congestion. I have not researched it completely but I think there are no new entrances into the parking areas. Also, it would be good to be able to get some piece of paper from each parking spot so that you don't lose it as now they are too big. Still not enough things to do for children which get bored in the cafe.",The Mall of Cyprus,"{'neg': 0.08, 'neu': 0.795, 'pos': 0.126, 'compound': 0.8517}",0.8517,pos
6,40,Mall of Cyprus has finally achieved the name it should be at.With its amazing renovation it has managed to fit more shops inside and be more roomy-ish. The parking is now huge with 3-4 decks of parking.Great upgrade.,The Mall of Cyprus,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.8225}",0.8225,pos
7,40,With renovation done recently is much better. You can find different kind of shops and restaurants. The parking area is larger and most important is that you have accesses from different level now. The cinema should be renovated and upgraded. During hot days is good to visit this mall.,The Mall of Cyprus,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.7841}",0.7841,pos
8,40,"Nice place to do some shopping, with lots of dining places and a large food hall to sit. Lots of stores.",The Mall of Cyprus,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4215}",0.4215,pos
9,50,Its a big mall....lots of nice shops....and restaurants with delicious food....there is a good bus connection from Nicosia center to the mall.,The Mall of Cyprus,"{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.8555}",0.8555,pos
