,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
2,30,"this location is very important for Cypriots as it is the location where the Archbishop Palace, Folk Art Museum and the Byzantine Museum are. The Palace cannot be accessed and the museums have some exhibits yet did not impress me much as this is the environment I grew up with. …",Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.047, 'neu': 0.913, 'pos': 0.041, 'compound': -0.0806}",-0.0806,neg
18,40,If you aren't interested in Byzantine art and icons then don't bother...you'll be bored.,Archbishop Makarios III Cultural Foundation,,,"{'neg': 0.14, 'neu': 0.747, 'pos': 0.113, 'compound': -0.1139}",-0.1139,neg
30,50,"We planned to visit this place and everything in this area but it was so difficult to find as there are no directions coming from Ledra street, so we had to ask the locals for directions.This museum is housed in the same courtyard with another museum (which did not prove that interesting and still had to pay the entrance despite being Museum day where other museums did not charge anything).",Cyprus Folk Art Museum,,,"{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.8922}",-0.8922,neg
81,40,"we went a group of 10, the food was very nice and the deserts excelent, the service was also very good, but one thing that realy annoyed me, and i mean realy, was that they charged us for the water that we did not ask for, granted most people drank the water but they should have at least let us know.",Domus Lounge Bar,Review 30 Similarity,0.426401433,"{'neg': 0.117, 'neu': 0.82, 'pos': 0.063, 'compound': -0.5525}",-0.5525,neg
99,50,"in love with it!! my first time at domus but definetely not my last!!! great setting- great service - great food cant wait revisiting must try the prawn salad, tuna in oven, and'after eight icecream!!!!!!!!!!!",Domus Lounge Bar,Review 128 Similarity,0.35478743799999996,"{'neg': 0.308, 'neu': 0.637, 'pos': 0.055, 'compound': -0.9312}",-0.9312,neg
109,30,"Limited amount of vegetarian/vegan options. There was only one risotto suitable for vegan and one eggplant role which was vegetarian (stufed with cheese). I was forced to have fish even though im plant based due to this lack of options (i had the aubergine the 1st visit). The fish was OK, nothing special if im honest. My husband had the mushroom risotto which was served scorching hot, it took 10 minutes before my husband could touch it. Once he could eat it, it was tasty. We ordered a salad for starter which was meant to have ""cranberries"" in it, and instead it had chunks of some kind of red jelly? It was horrible. Quite expensive. This was our Second visit, dont think we'l visit this place again.",Domus Lounge Bar,Review 48 Similarity,0.321412173,"{'neg': 0.097, 'neu': 0.858, 'pos': 0.045, 'compound': -0.7227}",-0.7227,neg
117,50,Everything was perfect!we went there for dinner for our 5th anniversary and it couldn't be better! great service!excellent food!perfect atmosphere!a must go if you visit Nicosia!,Domus Lounge Bar,Review 83 Similarity,0.301511345,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.7825}",-0.7825,neg
120,20,"The food was extremely late (1 hour and 45 minutes late!!!!) . Plus, it was nothing special! It was asbolutely not worth the wait!",Domus Lounge Bar,Review 166 Similarity,0.301511345,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.6239}",-0.6239,neg
141,20,"I went there for a romantic dinner. I was disappointed by the service, food and atmosphere.To start, the service was not pleasant and the waitress didn't know the dishes.I order a salad for starter and it was really bad I ate only one bite.For main dish I had the chicken with the potatoes and carrots on the side. The carrots had the taste of unfrozen vegetables. The chicken and potatoes were just OK..nothing new to me.overall the quality of the food was low and the price high and one major problem for me the stuff was not friendly .I will not visit again this restaurant.",Domus Lounge Bar,Review 47 Similarity,0.22792115300000002,"{'neg': 0.152, 'neu': 0.823, 'pos': 0.024, 'compound': -0.9235}",-0.9235,neg
150,30,My latest visit to this restaurant will be my last as food was very basic and service was poor but prices high!,Domus Lounge Bar,Review 12 Similarity,0.213200716,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.3274}",-0.3274,neg
156,30,"At EUR110 per couple for a starter, two pasta dishes and a bottle of wine, this place is too overpriced (perhaps over-rated), despite the great decor and atmosphere inside.If you don't mind the price tag, check it out.",Domus Lounge Bar,Review 138 Similarity,0.213200716,"{'neg': 0.086, 'neu': 0.914, 'pos': 0.0, 'compound': -0.5096}",-0.5096,neg
171,10,"I went on date there last Saturday. First of all they sat us on a TOP uncomfortable table (you can not eat like this) next to the bar. It was 20.00 o'clock when we arrived and there was another couple next to us, so we asked nicely to move to a more compfartable table, the nice waitress came back and she said that they are fully booked (two tables) by the way, we made reservation two day in advanced. We ordered our food (very disent but nothing special) and there was No wine by class, only bottles....... We had our cocktails, eat our food, and we left at 22.10....still No parties arrived for the regular tables only 3 tables left and we all were sitting on a high tables with the uncomfortable high chairs......and paid for an overpriced meal.....",Domus Lounge Bar,Review 10 Similarity,0.161164593,"{'neg': 0.084, 'neu': 0.843, 'pos': 0.073, 'compound': -0.3729}",-0.3729,neg
191,10,"Our recent experience was a very poor one. The food was poorly presented and the taste was below average. All the dishes we were served totally lacked imagination. It reminded me of food that was served back in the 80's! The least I can call a main dish where the whole plate was covered in sauce, and underneath were pieces of chicken and rice (with chopped carrots!) is disappointing. No dish managed to stand out and exceed average. To be fair, the service and the ambience were ok. In any case, way too expensive for what it is. We will definitely not be going back.",Domus Lounge Bar,Review 39 Similarity,0.095346259,"{'neg': 0.083, 'neu': 0.853, 'pos': 0.064, 'compound': -0.49}",-0.49,neg
208,30,"The food is nice, tasty and a bit expensive. I would have given a 4/5 in everything if they hadn’t (initially) charge 5 bottles of water.. We were sitting outside - the outside sitting consists of several small tables on the pavement. The waitress opens a bottle of water, fills your glass(es) and then moves to the next table and does the same. So you don't really know how much water you had. They charged 5 bottles but we had much less so we complained to the manager, and he tried to convince us that they would never do such a thing…… After a long discussion he charged us only two bottles and he offered to buy us drinks.",Domus Lounge Bar,Review 92 Similarity,0.0,"{'neg': 0.062, 'neu': 0.901, 'pos': 0.038, 'compound': -0.416}",-0.416,neg
213,30,"food was average compared to prices and it was very very late> we complaint 3 times, nobody apologised",Domus Lounge Bar,Review 142 Similarity,0.0,"{'neg': 0.131, 'neu': 0.795, 'pos': 0.074, 'compound': -0.2648}",-0.2648,neg
236,40,"No much of an inscription - one has to know about the history of the island, then the monument makes sense.",Liberty Monument,,,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
241,50,"The statue symbolism the heroe struggle The fighting spirit inprisoning ,handking and hard fighting of the Greek community for independence of Cyprus from the English roulers between 1955-1959.",Liberty Monument,,,"{'neg': 0.26, 'neu': 0.689, 'pos': 0.051, 'compound': -0.7184}",-0.7184,neg
243,50,"The monument is of great importance to Cyprus recent history, but as it looks locals do not appreciate its value.",Liberty Monument,,,"{'neg': 0.211, 'neu': 0.622, 'pos': 0.167, 'compound': -0.2826}",-0.2826,neg
253,50,"This statue is above the Venetian Walls of Nicosia. It symbols the liberation of Cypriot people through out the centuries, but mainly from the Great Britain in 1960. But in 1974 Turkey invade Cyprus killing in cold blood, plunder, raping and forcing 200,000 people live their homes and up to today, never go back. So this statues is more than a hope that one we are liberate by the Turks.",Liberty Monument,,,"{'neg': 0.146, 'neu': 0.741, 'pos': 0.113, 'compound': -0.597}",-0.597,neg
256,50,"A monument that is rapped up in the Turmoil of Cypriot History. It was erected in 1973 to commemorate the release from prison in 1959 of EOKA fighters. It shows a statue of liberty overseeing two EOKA heroes tugging on chains in order to open prison gates and release Greek Cypriot prisoners, peasants and clergy, from British colonial rule.You will notice that there are no Turkish Cypriot prisoners being released, as they were considered to have been allies of the British during colonial times. Remember, this is 1973, and Turkish Cypriots had by then, to all intents and purposes, become non-citizens. This adds to the interest and controversy. The statues themselves are very well defined and realistic. Overall a very well executed monument albeit one that causes some debate.",Liberty Monument,,,"{'neg': 0.129, 'neu': 0.772, 'pos': 0.098, 'compound': -0.5594}",-0.5594,neg
262,30,"A nice monument, but no signs, explanations or translations to make it more relevant for tourists...",Liberty Monument,,,"{'neg': 0.158, 'neu': 0.734, 'pos': 0.107, 'compound': -0.2263}",-0.2263,neg
267,50,Went there with my ex. Got freaky without anyone noticing. Good times indeed. Go very late to avoid the possibility of having an unexpected visit hah,Liberty Monument,,,"{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.7484}",-0.7484,neg
268,30,"It is a pity that they don't have an English sign to tell the story of this park, so not knowing the history you can just guess it from itself. Go for quick glance if you have time.",Liberty Monument,,,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
269,40,"It is a monument which shows how people were evacuated from prison, really descriptive and a place to worth it",Liberty Monument,,,"{'neg': 0.156, 'neu': 0.755, 'pos': 0.09, 'compound': -0.34}",-0.34,neg
270,50,"On the way to Famagusta gate, if you walk along the Venetian wall you will see the imposing marble and bronze monument.Take a few minutes and check out the bronze figures of the soldiers and the liberated Cypriot people.I would add that the monument is not that well kept there are broken marble plates and grass growing between the tiles.",Liberty Monument,,,"{'neg': 0.1, 'neu': 0.873, 'pos': 0.027, 'compound': -0.5594}",-0.5594,neg
280,50,We came across this by accident and spent 15 minutes taking photos. it is a quick stop or a blink and you will miss it type of attraction.,Liberty Monument,,,"{'neg': 0.216, 'neu': 0.69, 'pos': 0.094, 'compound': -0.4404}",-0.4404,neg
287,40,"It's a striking monument, with a group of statues that seem to move, getting out to freedom and light from a somber prison.",Liberty Monument,,,"{'neg': 0.223, 'neu': 0.623, 'pos': 0.154, 'compound': -0.2263}",-0.2263,neg
288,30,"Not a lot to see - detour if you are walking by but that is about it. Only description is in greek, no english.",Liberty Monument,,,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.4215}",-0.4215,neg
298,30,We just passed it with out car. It is located on the Podocatri Bation close to the Famagusta Gate andis built in memory ofto commemorate the release from prison in 1959 of EOKA fighters from British colonial rule. It is quite and was new erected in 1973 . peasants and clergy,Liberty Monument,,,"{'neg': 0.086, 'neu': 0.914, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
301,20,"The inscription to explain the monument is on the side, one has to look for it; and it is only in greek; the sculptures are ok, but it is all rather simplistic. The marble plates start to fall off the pedestal... Not worth the trip to go there.",Liberty Monument,,,"{'neg': 0.04, 'neu': 0.927, 'pos': 0.032, 'compound': -0.1025}",-0.1025,neg
303,40,"This is a well presented and highly interesting museum which contains many documents, photos and items which belonged to the Greek Cypriots involved in the fight for liberation from British rule in the late 1950s.The call for union with Greece became louder in the 1950s but was rejected by the British and EOKA proceeded with a campaign against the occupying power. This led to violent deaths on both sides and there are many grisly photographs showing the sad outcome of the fighting which took place.I can't help thinking that only just over half the Brits who voted for Brexit meant it had to take place because democracy had to be seen to be done - the overwhelming majority (over 97%) of Greek Cypriots who voted for Enosis in the 1950 referendum organised by the Orthodox Church of Cyprus presumably didn't count or matter? They did matter when asked to fight for the Allies during the two world wars at which time they were led to believe that this would lead to Independence for Cyprus.Entrance to the museum is free and there is literature available in pamphlet form to take away. We left feeling quite depressed that the Greek Cypriot people involved in the EOKA struggle found it necessary to risk everything to regain their island.",The National Struggle Museum,,,"{'neg': 0.173, 'neu': 0.787, 'pos': 0.039, 'compound': -0.9874}",-0.9874,neg
306,40,Tells the graphic story of EOKA and the Cypriot fight for independence from Britain.Featuring many black and white photos of the era and honouring those greek cypriots who died in this cause.Primarily written info.inGreek with some Englsh translation.,The National Struggle Museum,,,"{'neg': 0.14, 'neu': 0.79, 'pos': 0.07, 'compound': -0.4767}",-0.4767,neg
309,40,"After eventually finding the museum which is next to several other museums. We were not charged on entry. There is lots of historic things in here to do with the Cypriot struggle against the British in the 1950's & 60's. It is an eyeopener for us as it tells how bad the British were, but it was a conflict and they did what they had to do.",The National Struggle Museum,,,"{'neg': 0.099, 'neu': 0.882, 'pos': 0.019, 'compound': -0.6761}",-0.6761,neg
310,10,"Simply a propaganda experience aimed at the 'evil ' British. Much like the Grivas 'Museum ' in Paphos which glorifies terrorism. .....ENOUGH SAID. THE National Struggle Museum in the North of Nicosia gives a far better idea of what was actually going on in the 50s, 60s and 70s. Just my opinion having previously read reports ftom the time.",The National Struggle Museum,,,"{'neg': 0.19, 'neu': 0.687, 'pos': 0.123, 'compound': -0.6908}",-0.6908,neg
319,50,A museum detailing the struggle of Cypriots against the British Colonial rule between 1955 and 1959.Many exhibitis detailing the struggle and keeping the memory of the victims and fighters alive.,The National Struggle Museum,,,"{'neg': 0.233, 'neu': 0.692, 'pos': 0.075, 'compound': -0.5423}",-0.5423,neg
320,40,"The museum is interesting for its perspective and to recognize the Greek Cypriot struggle for liberation. It veers toward hagiography and overblown prose - such as describing the incident where 4 bomb makers blew themselves up as a ""holocaust"" and the British detention centers - however unjust they may have been - as concentration camps. Also of note, apparently women had no role in this struggle.",The National Struggle Museum,,,"{'neg': 0.218, 'neu': 0.745, 'pos': 0.037, 'compound': -0.9022}",-0.9022,neg
322,40,"Well kept, but the real concentration camp in Kokkinotrimithis village, not far from Nicosia is much better, open air museum, including the barracs where prisoners were kept by the british, during 1955-1959 struggle against them.",The National Struggle Museum,,,"{'neg': 0.169, 'neu': 0.708, 'pos': 0.123, 'compound': -0.4588}",-0.4588,neg
