,r_points,r_text,place,scores,compound,score
0,50,What a sweet hotel out the way and quite .. came to visit my son and wanted some chill time and that’s what we got after walking all day came back to a warm friendly hotel ..breakfast was great ..Would recommend this hotel to any one .. thank you for a amazing stay ..,Averof Hotel,"{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.9638}",0.9638,pos
1,40,"Stayed two nights at this hotel.Very much liked the balcony in the room and check in was relatively easy.The hotel is dated but has a certain charm about it.A shop and a few restaurants within 10/15min walking distance.25min walk to local museum and art gallery.Breakfast wasn’t great but the effort was made at least. Paid for by work and I wouldn’t have been happy if I had paid for it.The staff were accommodating but communicating to them wasn’t easy.If you want a short and sweet visit, one or two nights, I’d recommend this hotel. But no longer.",Averof Hotel,"{'neg': 0.025, 'neu': 0.733, 'pos': 0.243, 'compound': 0.9769}",0.9769,pos
2,40,"I was on a business trip and needed a place near the office. This hotel is in a quiet place with AC and a small balcony. Even it's outdated, the place was very very clean. Loved the architecture of the hotel.",Averof Hotel,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.8277}",0.8277,pos
3,10,"We booked a twin room for two nights, but when we got there they said they did not have our room, but would put us in a bigger room. We thought great!!. We were given the key and went upstairs to the room. This was a 5 bed dormatory, with an empty fridge on a table and a pokey bathroom...nothing else.We went downstairs and was told i could have one room and my friend a room on another floor!!! We asked for our money back and went somewhere else.You get what you pay for. If you just need a cheap night or two this is for you. Just do not expect comfort as well.",Averof Hotel,"{'neg': 0.056, 'neu': 0.873, 'pos': 0.071, 'compound': 0.5651}",0.5651,pos
4,50,"HiI visited Nicosia in Oct for two days and have to say is quite interesting city!! The hotel was excellent value for money just about 15-20 min walk from city centre,so from the bus station to the hotel you can see many interesting things and history about Turkish occupation, then you can pass a lovely palms park then cross the road and you are in really nice quite residential area and couples more streets and you are there;))Is quite easy to find, the blond lady on reception probably owner of the hotel was very nice and polite. The check in was from 2pm and my room was ready for collection ;))Is really nice old hotel is looks like chalet in the mountainI have got a very nice massive big room with six single beds ..I was feeling as in the cartoon Snow white and her seven a little men hahaha....It was a really nice clean room with private bathroom.I had a very good sleep quite comfortable bed and then I had a really nice breakfestwhich was included the price.The breakfest was very nice and tasty, good selection of food, quite enough at the morning;))The housekeeping and breakfest staff was excellent !!! They are very polite and with smile on her face help you if you need. Well done and thank you!!!So if you are looking for a really nice not so expensive hotel in Nicosia I really recomended thi hotel.ευχαριστώ !!!Mario ;))",Averof Hotel,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.9972}",0.9972,pos
5,50,"Excellent value for money. Comfortable and friendly hotel, with a kind and professional personnel. It looks like a very stylish old inn. Quiet, clean, bright, cosy. Breakfast was luxurious, you could choose among many kinds of food, including fruit, fruit juice and honey. They must be No.1 in Lefkosia!",Averof Hotel,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.9732}",0.9732,pos
6,50,"I stayed at hotel Averov for 3 nights (1-4 February 2018). I was really impressed by the friendliness and professionalism of the staff, the cleanliness of the place and the very good breakfast. The hotel is located at Ayios Andreas suburb of Nicosia, a very quite and green area. It is a 10-15 min wall from Nicosia downtown, very close to government and commercial area.The hotel is decorated in a 70's ""country"" style, a little bit aged but very well preserved and maintained. My room was somehow small for my taste, but still comfortable, with a large closet and bathroom. Wi-Fi available everywhere, a bit slow though. Amenities basic, including shampoo and soap only. However hot water needed a few seconds to come through the tap.I would unconditionally suggest it as a place to stay in Nicosia, especially for professionals who need a quite, budget accommodation for their visit in Nicosia. And, certainly it will be my first choice for accommodation every time I visit Nicosia. Excellent value for money.",Averof Hotel,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.9752}",0.9752,pos
7,50,"A lovely place, friendly and cosy. Comfortably located in the centre of town, yet not in the middle of tourist attractions. Average prices and very helpful staff. Better if you have a car to move around.",Averof Hotel,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.9575}",0.9575,pos
8,40,"stayed here twice and are due to visit a third time .excellent service friendly staff.,Rooms a bit tired but very clean and comfortable location excellent 10 min walk into centre of Nicosia.Would defitnetly recommend this hotel value for money",Averof Hotel,"{'neg': 0.035, 'neu': 0.521, 'pos': 0.444, 'compound': 0.9743}",0.9743,pos
9,40,Tradition hotel in a more residential area..continental breakfast was fine ..free tee and coffee at any time..nice private balcony and a sitting area by the main entrance..the staff are welcoming and helpful..the hotel rooms are a bit tired as regards decor...but the price is right so can't really complain...I had to move on due to holiday commitments and went to Rimi hotel in old town Nicosia..this was twice the price and not as good...the booking dot com description on Rimi was totally wrong....booking dot com said they go by the descriptions the hotels give them....averof was accurate and value for money.,Averof Hotel,"{'neg': 0.027, 'neu': 0.866, 'pos': 0.106, 'compound': 0.7506}",0.7506,pos
10,50,"This was the first time we stayed here.Everything was as we hoped for. The staff were extremely helpful arranging a fridge in our room and serving drinks in their small bar after midnight! It was unusually hot in Nicosia, but our room a/c worked extremely better than expected. Rooms were very clean and breakfast was extensive for a two star hotel.",Averof Hotel,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.9085}",0.9085,pos
11,30,We stayed there in mid September so it was quite warm. We like the weather like that so we had no problem with the heat. We loved opening up the windows of an afternoon & there was a lovely breeze. The room was quite big but basic. A fridge would have been nice so we could store some of our food. The b'fast was lovely. If you wanted a drink at night you could get one from the bar downstairs (which is great because town is about a 20min walk away). Very clean & staff were lovely. We would stay here again.,Averof Hotel,"{'neg': 0.029, 'neu': 0.691, 'pos': 0.279, 'compound': 0.9853}",0.9853,pos
12,20,We spent 3 nights here. This is a kind of traditional hotel. It used to be house I guess. The building is beautiful and the neighbourhood is quiet but all furnitures are is old here.The air condition and the TV didn't work.There was no refrigerator either.They put shampoo and shower gel only once.The hotel manager is a middle aged woman that can help you in any ways but the addresses you need to. The reception is quite polite and helpful unless they don't speak english very well except the young boy.I think this hotel might be good for one night only.We charged for 55€ per night which is way expe,Averof Hotel,"{'neg': 0.018, 'neu': 0.821, 'pos': 0.161, 'compound': 0.9529}",0.9529,pos
