,r_points,r_text,place,scores,compound,score
1,50,A place to show you the civilized human beings of europe. Not much to say about it just go and see...,Museum of Barbarism,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
6,50,"The museum is small and not suitable for sensitive people or kids. I really like it and the funniest part for me is that both sides, Greek and Turkish part of Nicosia have one of this museum. They basically accusing each others of barbarism!",Museum of Barbarism,"{'neg': 0.035, 'neu': 0.827, 'pos': 0.138, 'compound': 0.7171}",0.7171,pos
8,10,"I cant believe there is,in nowdays,people who choose to visit a museum for war.Leave the deads in their graves and leave the rest of us unite our country and live in peace!",Museum of Barbarism,"{'neg': 0.099, 'neu': 0.79, 'pos': 0.111, 'compound': 0.3382}",0.3382,pos
0,30,"A few notes...There is no bar in the casino to just sit have a drink, relax and have a snack which I found odd.You cannot get an iron or ironing board in the room and there is no ironing room so you have to use their service.Phone in the bedroom didn’t work.The sun went behind the hotel at about 3pm so sunbathing all day isn’t possible.Food is just okay.Not all staff speak good English.We upgraded to a larger room and stayed in 301. I would not recommend doing that for the extra price.Positives were. Hotel was clean and tidy though. The staff that did speak English were pleased rand helpful. Pool area was fresh, modern and clean.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.051, 'neu': 0.797, 'pos': 0.152, 'compound': 0.9134}",0.9134,pos
1,40,The place has been renovated into a really nice casino. Staff is very friendly and do their upmost to make you feel welcome.Only downside i would say is that it needs a bit more light at the live games. The playing cards are the casino's own brand and with the bad lighting sometimes it is hard to read your cards.,Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.104, 'neu': 0.769, 'pos': 0.127, 'compound': 0.3582}",0.3582,pos
2,50,"Customer service was excellent - front desk staff could help with all kinds of questions and info. Located on a busy shopping street, many walkable restaurants and cafes. Clean room with many amenities in both the room and overall hotel. However, room was supposedly non smoking but still had that smell... It could use some touch ups and repairs (cigarette burns on furniture, carpet spots) but was overall comfortable and in good condition. Breakfast provided a lot of tasty options but was not outstanding. We used the well-equipped gym and got massages in the spa - enjoyed both. Overall high quality place, one of the nicest hotels in north Nicosia, but still reasonably priced.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.033, 'neu': 0.788, 'pos': 0.178, 'compound': 0.957}",0.957,pos
5,50,"I enjoyed the rich Mediterranean cuisine and the friendly and hospitable staff at the hotel. The room was well swept and I enjoyed my time at the pool. There was warm water. The hotel also provided transport to places I liked. The hotel is located near some great shops and is next to town, The lunch and breakfast is good and so is the supper",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.9781}",0.9781,pos
6,30,"Furnitures are very old. Fridge is not cool enough and loud. Hot air comes out from the fridge, that we were not able to sit at the desk and work. Price is too expensive. Pool was small and the roof on top was closed even a sunny weather outside. Far away from the center.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.035, 'neu': 0.884, 'pos': 0.081, 'compound': 0.3895}",0.3895,pos
7,30,"This Hotel is always difficult to rate. This is my 4th visit to this hotel, simply because of where it is situated. My first stay was Fantastic, but I have come to realize it was fantastic not because of the facilities , but because of the staff. This trip has proven to be more disappointing. Reception is very helpful and friendly , especially the women during the day. However the waitering staff throughout the rest of the hotel leave much to be desired. Most don’t speak English, and are unapproachable, especially if you are female. You are easily passed over for any kind of service. There is one waiter, Mehmet who really went out of his way to make sure we were comfortable. Thank you. The breakfast buffet, was minimal and tasteless. While we had a fantastically spacious room, the aircon was a problem. Overall a very uneventful experience",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.065, 'neu': 0.748, 'pos': 0.187, 'compound': 0.9722}",0.9722,pos
8,10,"It's 10:40 on a Saturday night. I'd prefer to be sleeping rather than writing this stupid review, but I can't sleep because—although I'm on the seventh floor, requested a quiet room, and have called the front desk twice—the driving, thumping, crappy music from ""the club"" sounds like someone is slamming the door repeatedly from the neighboring room. The hardware in my bathroom is actually rattling.Is it really necessary to play the ""music"" at 140 decibels? Could the people in the club be just as happy at, say, 120 decibels? Clearly this hotel does not care about its individual guests who have paid them for sleep.Also, drop the attitude at the front desk at check-in.",Golden Tulip Nicosia Hotel and Casino,"{'neg': 0.102, 'neu': 0.779, 'pos': 0.119, 'compound': 0.4962}",0.4962,pos
