,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
2,40,"spacious and elegant with all you need for a business apartment but could do with updating. staff very friendly and helpful. location central and within easy reach of restaurants and shops, local supermarket close by",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.9421}",0.9421,pos
3,40,"I have stayed here as I had a very quick 2 day meeting in Nicosia and as such its clean, its convenient, the breakfast options are acceptable and got a good nights sleep. If you are looking for somewhere to spend your days in however then this is probably not for you as the setup is not designed for this type of break.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.7845}",0.7845,pos
4,50,"I had been staying in that place several years ago. I was definitely happy to be back again. Located in a quiet street, you can enjoy the relaxed atmosphere; even if the aparthotel is fully booked you never find it crowded: neither in the lift, in the breakfast room or in the lobby ! Rooms are very large ... big sleeping room connected to a living room with kitchen. Bathroom with a large shower. Very clean -I appreciated a lot the perfumed towels. Large table where to work. Nice and helpful staff. The only negative side of my stay was the hot water which -considering I was staying at the last floor ( provided that was the real cause of it)- took always a while (some minutes) to arrive. Excellent price/quality ratio.",Almond Business Hotel,,,"{'neg': 0.026, 'neu': 0.767, 'pos': 0.208, 'compound': 0.976}",0.976,pos
5,40,"Located a regular neighborhood, the hotel is by no mean spectacular on the outside. Once inside, you discover a well kept and comfortable hotel. Everything is spotless and the staff always tries to assist.Rooms are big and comfortable. Although my stay was for business, the hotel is obviously appropriate for families and couples on holiday.Breakfast is basic but more than appropriate.",Almond Business Hotel,,,"{'neg': 0.026, 'neu': 0.881, 'pos': 0.094, 'compound': 0.5023}",0.5023,pos
6,30,"This hotel is something of a budget version of Marriott Courtyard properties. I stayed in a 1 BR suite, which has a basic kitchen (small electric stove, sink, mini-fridge). Property was clean, but not particularly luxurious. It's what you pay for - a basic place to sleep. Hot breakfast is nicely done.",Almond Business Hotel,,,"{'neg': 0.032, 'neu': 0.852, 'pos': 0.116, 'compound': 0.6249}",0.6249,pos
7,40,"Booked for two nights for a business trip. Looks basic but rooms are large, beds comfortable, AC included, balcony and the breakfast went over my expectations.Everything is very clean, which is what you would want as a first thing on your list of requirements! Am due to return in a few months and will be happy to stay again. Good location.The only things that didn't make me give them a 5stars rating are the reception staff - Not very warm, we booked airport transfers (45€) via Almond Suites and I wasn't told we needed to pay the driver cash, that could have been awkward. I mentioned it was my birthday when booking and no little gestures. They recommended the local Monaco cafe for dinner but they didn't have half the drinks we wanted there although there's a more upbeat place called Aperitivo right opposite the Monaco cafe. No bar at Almonds suite which is a shame when sitting on their terrace outside.",Almond Business Hotel,,,"{'neg': 0.088, 'neu': 0.795, 'pos': 0.118, 'compound': 0.808}",0.808,pos
9,50,"very nice hotel situated 5 minutes from city center, with big rooms and nice showers, free parking and nice breakfast. Recommended for business travelers and families. There is a kitchen and nice breakfast.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.9475}",0.9475,pos
10,30,"The hotel is well situated in Nicosia, in a quiet neighboorhood. It is a very functional and clean place, with friendly staff.The reason why I don't give it a higer rating, is that it is a very cold place, with almost no decoration, the room in a plain beige colour, and the corridor to reach the room is like an old school, grey and cold.The breakfast is good. It might be recommendable for families, as the rooms are like appartments with a kitchen and a separate living room, but staying alone in this place didn't make me feel at home.",Almond Business Hotel,,,"{'neg': 0.04, 'neu': 0.827, 'pos': 0.133, 'compound': 0.6461}",0.6461,pos
11,40,"It is located in a quiet area, at about 20min walk to the old town.A bit bland but very clean, big room, comfortable bed, very good bathroom, fairly good breakfast, free parking, good restaurants nearby.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.9813}",0.9813,pos
12,40,"the hotel is well located.The room is big, includes both living room and bedroom and both rooms are big. Breakfast was good but good have more choices.Inside you had a microwave, a small kitchen and a table so you could prepare some meal if you wanted",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.7469}",0.7469,pos
